,Title,Artist,Lyrics
Faith,Faith,Lacey Sturm,"Laughter tickles my tongue
A breathless chase has begun
I'm gonna let you win
Catch me, I'm falling in
Love, oh what have I done?
Love how you gamble your pride
Amazed how strong you are
You risk looking in my eyes
And let me melt your heart
Will you always
Chase me like this?
Will time and space
Leave when we kiss?
Curses burning my tongue
I wonder if you're enough
I promised forever
Am I a liar?
Love, oh what have I done?
Love how you gamble your pride
Amazed how strong you are
You risk looking in my eyes
And let me break your heart
Will you always
Chase me like this?
Will time and space
Leave when we kiss?
I was divided
My heart was so confused
My heart's a lion and I used to know the truth
I have decided
I'm gonna follow through
I wanna gamble and fall in love with you
I hear your heartbeat
You're singing to me
Will you always
Chase me like this?
Will time and space
Leave when we kiss?"
I’m Not Laughing,I’m Not Laughing,Lacey Sturm,"She's walking on eggshells
Biting off her tongue
She's still searching for herself
But it ain't pleasing no one
And none of you know her anyway
You don't even want to
They aren't your tears, it ain't your pain
So what's it too you?
I'm not laughing
Don't get confused!
I'm not pointing my finger
Don't want to be like you
No! No! No!
She doesn't know she's beautiful
Cause all she ever hears
Is your insecure loud mouth
Feeding off her fears
And all you know is that everyone is looking at her now
You shoot her with your mouth, your gun
But I can hit too somehow
I'm not laughing
Don't get confused!
I'm not pointing my finger
Don't want to be like you
No! No!
I'm not laughing
Don't get confused!
I'm not pointing my finger
Don't want to be like you
No!
(Stop it! Now!)
(Stop it! Now!)
I'm not laughing
Don't get confused
I'm not pointing my fingers
I'll never be like you
No! No!
I'm not laughing
Don't get confused!
I'm not pointing my finger
Don't want to be like you
No! No! No!
(I'm not laughing)
(I'm not like you! I'm not like you!)
(I'm not like you! I'm not like you!)
(I'm not laughing)
(I'm not like you! I'm not like you!)
(I'll never be like you!)"
The Decree,The Decree,Lacey Sturm,"Help

She collects grey drops of rain inside
The bottom of her glass
Till the world has gone from upside down
To right side up again
'Cause she believes till she can see
Five long months looking at trees
That seem like they are dead
Blackened, twisted, broken, still
Full bloom inside her head
'Cause she believes till she can see

Turning the pages
Unlock these cages

Quiet days we can hear this sound
Heaven's throne in the earth come down
The decree's out now
Never been so loud
Making way for the undoing
Of the death in everything
The decree's out now
Never been so loud

The time's not near, it's here
A holy fear is here

When the world is laughing at itself
All she can do is cry
But when the world is scared and crying out
She laughs, fearless inside
'Cause she believes till she can see
Floating freely, breathing easy
Over stratospheres
Eternity throws glory stars
Redeeming all the years
Do you believe and will you dream?

Turning the pages
Open these cages

Quiet days we can hear this sound
Heaven's throne in the earth come down
The decree's out now
Never been so loud
Making way for the undoing
Of the death in everything
The decree's out now
Never been so loud

The time's not near, it's here
A holy fear is here
Is here

(Majesty)

Quiet days we can hear this sound
Heaven's throne in the earth come down
The decree's out now
Never been so loud
Making way for the undoing
Of the death in everything
The decree's out now
Never been so loud

The time's not near, it's here
A holy fear is here
The time's not near, it's here
A holy fear is here"
Roxanne,Roxanne,Lacey Sturm,"Roxanne
You don't have to put on the red light
Walk the streets for money
You don't care if it's wrong or if it's right

Roxanne
You don't have to wear that dress tonight
Those days are over
You don't have to sell your body to the night

Roxanne, Roxanne, Roxanne
Oh no!

Don't you put on the red light
You don't have to put on the red light
You don't have to put on the red light
Roxanne
Don't you put on the red light
You don't have to put on the red light
You don't have to put on the red light
Roxanne

I loved you since I knew ya
I wouldn't talk down to you
I have to tell you just how I feel
I won't share you with another boy

I know my mind is made up
So put away your make up
I told you once, I won't tell you again
It's a bad way

Roxanne, Roxanne, Roxanne
Oh, not again!

Don't you put on the red light
You don't have to put on the red light
You don't have to put on the red light
Roxanne
Don't you put on the red light
You don't have to put on the red light
You don't have to put on the red light
Roxanne

I know your heart is broken
And it's left you so wide open
I know your heart is broken
Roxanne
Don't try to pick up the pieces
Just leave them where they lie
I'm gonna give you a new heart
Tonight
Don't try to pick up the pieces
Just leave them where they lie
I'm gonna give you a new heart
Tonight

Don't you put on the red light
You don't have to put on the red light
You don't have to put on the red light
Roxanne
Don't you put on the red light
Don't have to put on the red light
You don't have to put on the red light
Roxanne"
Heavy Prey,Heavy Prey,Lacey Sturm,"Who sent me here?

Betrayed by your kiss, hurry, finish
You wasted your chance, I'm provoked
So I bleed till it is finished
And I prove that my gifts have revoked

And I won't repent from this
I won't repent from this, blood is binding
Love, you were meant for this flesh
You were meant for this life by dying
I won't repent from this
I won't repent from this, blood is binding
Love, you were meant for this flesh
You were meant for this love

You're my flesh and blood
You're my flesh and blood
You're my flesh and blood

You'll never feel at home
Anywhere, anywhere you go
And when you sit around
All your questions, they start to grow
They won't give you any answers
And they lie about what they don't know

But I won't repent from this
I won't repent from this, blood is binding
Love, you were meant for this flesh
You were meant for this life by dying
I won't repent from this
I won't repent from this, blood is binding
Love, you were meant for this flesh
You were meant for this love

You're my flesh and blood
You're my flesh and blood
You're my flesh and blood, blood, blood

You only know my heart when it's cold
But it burns when I hear my inflection in your voice
Don't you see all my soul that is yours?
When you stand in the truth, upholding you

And I won't repent from this
I won't repent from this, blood is binding
Love, you were meant for this flesh
You were meant for this life by dying
I won't repent from this
I won't repent from this, blood is binding
Love, you were meant for this flesh
You were meant for this love

You're my flesh and blood
You're my flesh and blood
You're my flesh and blood"
State of Me,State of Me,Lacey Sturm,
Mystery,Mystery,Lacey Sturm,"I've been trying to get away from myself
And when I try to speak out, there's no help
You caught me with steady eyes
Speaking low like a sunrise
You noticed me like no one else
You noticed me like no one else

And it's a mystery right in front of me
How a father loves a daughter
What does all that mean?
And how did you know me so well
Like you seem to?
And do you really love me
Like your eyes say you do?

I made a plan to run away from this war
'Cause I don't wanna hurt you anymore
But you fought through my firewalls
Above the war I heard you call
You rescued me like I'm yours
You rescued me like I'm yours

And it's a mystery right in front of me
How a father loves a daughter
What does all that mean?
And how did you know me so well
Like you seem to?
And do you really love me
Like your eyes say you do?

'Cause I learn what love means by how You love me
But when You love me it's still hard to believe
'Cause I don't understand what Your purity means
So I just wanna thank you for waiting on me
'Cause I learn what love means by how You love me
But when You love me it's still hard to receive
'Cause I don't understand what all of this means
But I just wanna thank you for having patience with me

'Cause it's a mystery right in front of me
How a father loves a daughter
What does all that mean?
And how did you know me so well
Like you seem to?
And do you really love me
Like your eyes say you do?
You do"
Sacred,Sacred,Lacey Sturm,"Verse:
I know it seems like there is nothing sacred anymore and the world is dark lit up with only flames of war. It’s such an empty place when longing for human praise they walk away; I’m left wide open and my heart breaks wide open.
Chorus:
I hear there’s a sacred place, just within heaven’s gates
If only heaven’s gates were open
If only heaven’s gates were open
But all I have is a broken heart and all I do is fall apart
If only heaven’s gates were open
If only heaven’s gates were open"
Time,Time,Lacey Sturm,"Time is a measure
Abstract, it’s a number
Created to measure the will
Time I rolls as humans make choices
Time holds death but it doesn’t kill
The will of every human measured
Time is the great divine ledger
Our choices becoming a journal
But choices are made in freedom
Freedom, now that is eternal
Time is just a location
Time appears like a fading star
Just a galaxy in the universe of freedom
Unfolding to show who we are
Choices are always alive as
Eternal moments of freedom
The free choice of man will rest of strive
To destroy or restore Eden
But time just measures the will
And when it’s done giving it’s gift
Time will be rolled up and put away
The mere measuring tape that it is
Freedom is a choice
Terrifying responsibility of right
Our choices of death are only erased
By the blood of Jesus Christ
He set before us life and death
And pleads for us to choose life
He honors our freedom whatever we choose
But gives us the chance to love right
He chooses the ones who will choose him
And he is both the first and the last
Our choices are eternal
But Christ’s blood re-writes the past
We all have the opportunity
To turn our will toward him
Love him back for his mercy
Believe by his blood he forgives
So choose life or choose death
Come to light or hide in the dark
And with every choice you make
Time will measure who you are
God is always speaking
Father of ya all
Holy Ghost of Jesus Christ
Calling you, he calls:
“You are the parallel universe
You are the split
In your heart choose life or death
And I will honor it
I am the one
With my blood, who boots out paths of death
But you must choose if you will me to
Or will you keep running ahead?
Yes, parallel universes are possibilities
And they exist within you
And you move back and forth with ease
And enter the futures you choose
Each one is a parallel universe
Eternal souls covered in mud
Freedom is unending parallel universes
And they all intersect with my blood
When each one comes to this crossroad
All wills make a choice
From these points on forever
Life or death will have a voice.”"
Breath of Eternity,Breath of Eternity,Lacey Sturm,"Verse:
Seems like I’m always waiting to come back here. When life starts to lead my minds else where, the ache begins low and grows to hunger that I can’t control. My soul starts to wonder, where did you go? When did I leave? I didn’t mean to, but I always miss you.
Pre-Chorus
Breath of eternity forever alive in me, hold my thoughts in your strong arms. I bring you my whole life, all I am inside.
Chorus-
There’s no one more beautiful, there’s no live truer than you. I want my whole life to be ceaseless worship to you."
Christmas Song,Christmas Song,Lacey Sturm,"Verse 1:
A frightened virgin teenage girl receives a message that defies the laws of this world
All she can do is weep and nod; she’s to bring into this world the Son of God.
Chorus:
God’s angels sound their trumpets and blow their horns
Tonight the long awaited Savior’s to be born
The goodness bound by satan has been torn
With this baby’s precious brow ready for thorns.
Verse2:
A star appears fulfilling an ancient prophecy
There’s an ounce of fear as wise men follow faithfully
The virgin Mary brings forth a human savior
And this future king sleeps soundly in a manger
Tonight He is born so one day He can die
To heal hearts that are torn and live a perfect life
So He can hang upon a cross and we can take His life
So we can live as sinners and He can pay the price
Tonight He is born so day He can die...
But He will rise again!"
